sector,Final Cumulative Return
RETAILING,1.133053993255654
DEFENCE,1.0176005747126422
POWER,0.6018409528819615
AUTOMOBILES,0.5452653707510521
MINING,0.4184652278177427
SOFTWARE,0.38275954166627385
CEMENT,0.3697094486387549
ENERGY,0.365647876018393
MISCELLANEOUS,0.3610308138286033
ALUMINIUM,0.3586831961662664
TEXTILES,0.3578198804497743
PHARMACEUTICALS,0.31379173001529076
STEEL,0.19217124614573128
ENGINEERING,0.1725372163019616
INSURANCE,0.1176783202753328
FINANCE,0.11576063201001541
BANKING,0.11380534233917299
FOOD & TOBACCO,0.043217343897488145
FMCG,-0.0095791648102399
PAINTS,-0.2193504586576575
